COD_PROVINCIA;NOM_PROVINCIA;COD_MUNICIPIO;NOM_MUNICIPIO;TIPO;NOMBRE;DIRECCION;CP;TELEFONO;FAX;WEB;CATALOGO;EMAIL;CENTRAL;COD_CARACTER;DESC_CARACTER;DECRETO
12;CASTELLÓN;40;CASTELLÓ DE LA PLANA;BIBLIOTECA ESPECIALIZADA;BIBLIOTECA ESPECIALIZADA CENTRO INTERNACIONAL BANCAJA PARA LA PAZ Y EL DESARROLLO CASTELLÓ DE LA PLANA;CALLE ENMEDIO Nº 82;12001;TELF.964232551;FAX.964230212;HTTP://WWW.EPD.UJI.ES/; ;CIBPD@FUNDACIONCAJACASTELLON.ES;N;PR;PRIVADA;N
46;VALENCIA;250;VALÈNCIA;BIBLIOTECA UNIVERSITARIA;BIBLIOTECA UNIVERSITARIA DEL JARDÍ BOTÀNIC-JOSÉ PIZCUETA VALÈNCIA;CALLE QUART Nº 80;46008;TELF.963156807;FAX.963156826;HTTP://BIBLIOTECA.UV.ES/VALENCIANO/BIBLIOTECAS/DE_CAMPUS/B_BOTANIC/BOTANICO.PHP;HTTP://TROBES.UV.ES/;BIBJARDI@UV.ES;N;PU;PÚBLICA;N
12;CASTELLÓN;40;CASTELLÓ DE LA PLANA;AGENCIA DE LECTURA;AGENCIA DE LECTURA CENSAL CASTELLÓ DE LA PLANA;AVENIDA CASALDUCH Nº 84-BA;12005;TELF.964256293; ;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0047;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0047; ;N;PU;PÚBLICA;S
46;VALENCIA;132;EL GENOVÉS;OTRAS PÚBLICAS;OTRAS PÚBLICAS  EL GENOVÉS;CALLE MÁRTIR Nº 2;46894;TELF.962229166 AYTO; ;HTTP://GENOVESJOVE.BLOGSPOT.COM/; ;GENOVESBIBLIOTECA@GMAIL.COM;N;PU;PÚBLICA;N
46;VALENCIA;250;VALÈNCIA;BIBLIOTECA AUXILIAR ARCHIVO;BIBLIOTECA AUXILIAR ARCHIVO GENERALITAT VALENCIANA VALÈNCIA;AVENIDA CAMPANAR Nº 32;46015;TELF.961923551;FAX.961923554;HTTP://WWW.CULT.GVA.ES/DGLAB/; ;FERRIOLS_JAI@GVA.ES;N;PU;PÚBLICA;N
46;VALENCIA;92;CASTIELFABIB;OTRAS PÚBLICAS;OTRAS PÚBLICAS  CASTIELFABIB;CALLE DON ENRIQUE FORNÁS Nº 1;46141;TELF.978783100 AYTO;FAX.978783129 AYTO; ; ;ADL@CASTIELFABIB.ES;N;PU;PÚBLICA;N
03;ALICANTE;129;TIBI;AGENCIA DE LECTURA;AGENCIA DE LECTURA  TIBI;PASEO LA SANTA Nº S/N;03109;TELF.965617152;FAX.965617141 AYTO; ;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0176;BIBLIOTECA@TIBI.ES;N;PU;PÚBLICA;S
12;CASTELLÓN;57;ESLIDA;AGENCIA DE LECTURA;AGENCIA DE LECTURA  ESLIDA;CALLE PRINCEP FELIP Nº 49;12528;TELF.964628000 AYTO;FAX.964628025 AYTO; ; ;INFO@ESLIDA.ES;N;PU;PÚBLICA;N
03;ALICANTE;94;NUCIA (LA);AGENCIA DE LECTURA;AGENCIA DE LECTURA CARAVANA NUCIA (LA);URBANIZACIÓN CARAVANA Nº 10;03530;TELF.966875827; ;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0062;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0062;SLCARAVANA@LANUCIA.ES;N;PU;PÚBLICA;S
03;ALICANTE;99;ORIHUELA;BIBLIOTECA AUXILIAR ARCHIVO;BIBLIOTECA AUXILIAR ARCHIVO DE ORIHUELA ORIHUELA;PLAZA MARQUES DE RAFAL Nº 1;03300;TELF.965302497;FAX.966742297;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=AHPO;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=AHPO;MORENO_CES@GVA.ES;N;PU;PÚBLICA;N
46;VALENCIA;250;VALÈNCIA;BIBLIOTECA ESPECIALIZADA;BIBLIOTECA ESPECIALIZADA DIRECCIÓN GENERAL PATRIMONIO CULTURAL VALÈNCIA;AVENIDA CONSTITUCIÓN Nº 264;46015;TELF.963874192;FAX.963874189;HTTP://WWW.BEGV.GVA.ES/DGPAGV/TDGPA.HTML;HTTP://WWW.BEGV.GVA.ES/DGPAGV/TDGPA.HTML;GANDIA_MIG@GVA.ES;N;PU;PÚBLICA;N
46;VALENCIA;250;VALÈNCIA;CENTRO DE DOCUMENTACION;CENTRO DE DOCUMENTACION E INFORMACIÓN ESTADÍSTICA (IVE) VALÈNCIA;PLAZA NÁPOLES Y SICILIA Nº 10 PISO 4;46003;TELF.963869546;FAX.963869420;HTTP://WWW.IVE.ES; ;DOCUMENTACION_IVE@GVA.ES;N;PU;PÚBLICA;N
46;VALENCIA;250;VALÈNCIA;CENTRO DE DOCUMENTACION;CENTRO DE DOCUMENTACION AGENCIA VALENCIANA DE TURISMO VALÈNCIA;AVENIDA ARAGÓN Nº 30 PISO 8;46021;TELF.963986113;FAX.963986001;HTTP://WWW.COMUNIDADVALENCIANA.COM; ;ESTEVE_CARSAN@GVA.ES;N;PU;PÚBLICA;N
46;VALENCIA;250;VALÈNCIA;BIBLIOTECA ESPECIALIZADA;BIBLIOTECA ESPECIALIZADA SINDICATURA DE COMPTES VALÈNCIA;CALLE SAN VICENTE Nº 4;46002;TELF.963876444;FAX.963876417;HTTP://WWW.SINDICOM.GVA.ES; ;ARIBERA@SINDICOM.GVA.ES;N;PU;PÚBLICA;N
46;VALENCIA;134;GILET;AGENCIA DE LECTURA;AGENCIA DE LECTURA  GILET;CALLE NOU D'OCTUBRE Nº 1;46149;TELF.962620241;FAX.962621168 AYTO;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0149;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0149;BIBLIOTECA@GILET.ES / WEB@GILET.ES;N;PU;PÚBLICA;N
03;ALICANTE;74;GRANJA DE ROCAMORA;OTRAS PÚBLICAS;OTRAS PÚBLICAS JOAQUÍN CARTAGENA ALDEGUER GRANJA DE ROCAMORA;CALLE IGLESIA Nº 9 PISO 1;03348;TELF.965360134;FAX.966750322/966750494; ; ;AGENCIALECTURAGRANJA@HOTMAIL.COM;N;PU;PÚBLICA;N
46;VALENCIA;138;GUADASSÉQUIES;AGENCIA DE LECTURA;AGENCIA DE LECTURA  GUADASSÉQUIES;AVENIDA DE LA CONSTITUCIÓN Nº 14;46839;TELF.962293005 AYTO; ; ; ;GUADASEQUIES_SEC@GVA.ES;N;PU;PÚBLICA;N
03;ALICANTE;77;FONDÓ DE LES NEUS (EL);OTRAS PÚBLICAS;OTRAS PÚBLICAS  FONDÓ DE LES NEUS (EL);CALLE VEREDA Nº 17;03688;TELF.965480201 AYTO;FAX.965480480 AYTO; ; ;AYUNTAMIENTO@AYTO-HONDONDELASNIEVES.ES;N;PU;PÚBLICA;N
03;ALICANTE;78;HONDÓN DE LOS FRAILES;OTRAS PÚBLICAS;OTRAS PÚBLICAS  HONDÓN DE LOS FRAILES;AVENIDA ALBATERA Nº 7;03689;TELF.965482001 AYTO;FAX.965482076 AYTO; ; ;BIBLIOTECA@HONDONDELOSFRAILES.ES;N;PU;PÚBLICA;N
03;ALICANTE;80;JACARILLA;AGENCIA DE LECTURA;AGENCIA DE LECTURA AJUNTAMENT JACARILLA;PASAJE DE LA IGLESIA Nº S/N;03310;TELF.966771043/5350375;FAX.966770434 AYTO; ; ;JACARILLA.ALECTURA@GMAIL.COM;N;PU;PÚBLICA;N
46;VALENCIA;142;JALANCE;AGENCIA DE LECTURA;AGENCIA DE LECTURA VICENTE LLORENS CASTILLO JALANCE;PASAJE DON RAFAEL LÓPEZ Nº S/N;46624;TELF.962196011 AYTO;FAX.962196451 AYTO; ; ;JALANCE_AYU@GVA.ES;N;PU;PÚBLICA;N
03;ALICANTE;81;XALÓ;AGENCIA DE LECTURA;AGENCIA DE LECTURA  XALÓ;AVENIDA PLA DE LA HUERTA Nº 7 ESC. A;03727;TELF.966480912; ;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0155;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0155;BIBLIOTECA@XALO.ORG;N;PU;PÚBLICA;S
12;CASTELLÓN;71;JÉRICA;AGENCIA DE LECTURA;AGENCIA DE LECTURA AYUNTAMIENTO JÉRICA;CALLE DEL RÍO Nº 2;12450;TELF.964129173;FAX.964129177 AYTO; ; ;AYUNTAMIENTO@JERICA.ES;N;PU;PÚBLICA;N
46;VALENCIA;20;ALCÚDIA DE CRESPINS (L');BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL  ALCÚDIA DE CRESPINS (L');PLAZA GENERALITAT Nº S/N;46690;TELF.962241411; ; ; ;BIBLIOALCUDIACRESPINS@GMAIL.COM;N;PU;PÚBLICA;N
46;VALENCIA;37;ALQUERIA DE LA COMTESSA (L');AGENCIA DE LECTURA;AGENCIA DE LECTURA GONÇAL CASTELLÓ ALQUERIA DE LA COMTESSA (L');CALLE SANT JAUME Nº 1 PISO 1;46715;TELF.962894006/962893002;FAX.962894232 AYTO; ; ;CASACULTURA@LALQUERIADELACOMTESSA.ES;N;PU;PÚBLICA;N
46;VALENCIA;183;OLLERIA (L');BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL MUNICIPAL - AJUNTAMENT OLLERIA (L');CALLE AURORA Nº 7;46850;TELF.962200098;FAX.962200011 AYTO;HTTP://WWW.BIBLIOTECASPUBLICAS.ES/LOLLERIA/;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0138;BIBLIOTECA@LOLLERIA.ORG;N;PU;PÚBLICA;S
46;VALENCIA;128;FONT DE LA FIGUERA (LA);AGENCIA DE LECTURA;AGENCIA DE LECTURA ANA MARIA IBARS IBARS FONT DE LA FIGUERA (LA);CALLE ARCEDIANO ROS Nº 10 PISO 1;46630;TELF.962290480;FAX.962290172 AYTO; ; ;MONTSEBIBLIO@HOTMAIL.COM;N;PU;PÚBLICA;S
46;VALENCIA;200;POBLA DEL DUC (LA);AGENCIA DE LECTURA;AGENCIA DE LECTURA  POBLA DEL DUC (LA);AVENIDA CONSTITUCIÓ Nº 10;46840;TELF.962250066-654619060;FAX.962927155 AYTO; ; ;BIBLIOTECA@LAPOBLADELDUC.COM;N;PU;PÚBLICA;N
12;CASTELLÓN;94;POBLA TORNESA (LA);AGENCIA DE LECTURA;AGENCIA DE LECTURA  POBLA TORNESA (LA);CALLE ENMIG Nº 2;12191;TELF.964338278;FAX.964338003 AYTO; ; ;BIBLIOPOBLA@GMAIL.COM;N;PU;PÚBLICA;N
03;ALICANTE;114;ROMANA (LA);AGENCIA DE LECTURA;AGENCIA DE LECTURA GÓMEZ NAVARRO ROMANA (LA);CALLE CERVANTES Nº 8;03669;TELF.965696738/965696467; ; ; ;CONTACTO@AYTOLAROMANA.ES;N;PU;PÚBLICA;N
12;CASTELLÓN;126;VALL D'UIXÓ (LA);AGENCIA DE LECTURA;AGENCIA DE LECTURA LLEONARD MINGARRO VALL D'UIXÓ (LA);CALLE TRAVESIA DE ALBACETE Nº S/N;12600;TELF.964738660; ;HTTP://WWW.BIBLIOTECASPUBLICAS.ES/LAVALL/;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0025;BIBLIOTECA@LAVALLDUIXO.ES;N;PU;PÚBLICA;S
12;CASTELLÓN;50;COVES DE VINROMÀ (LES);AGENCIA DE LECTURA;AGENCIA DE LECTURA JOAN FUSTER COVES DE VINROMÀ (LES);PLAZA CERVANTES Nº S/N;12185;TELF.964426003/9 AYTO;FAX.964426002 AYTO; ;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0186;BIBLIO1996@GMAIL.COM;N;PU;PÚBLICA;S
03;ALICANTE;85;LLÍBER;OTRAS PÚBLICAS;OTRAS PÚBLICAS  LLÍBER;CALLE DE LA PAZ.ESQUINA C. SAN ROQUE Nº 2;03729;TELF.965730509 AYTO;FAX.965731770 AYTO; ; ;AYTOLLIBER@TERRA.ES;N;PU;PÚBLICA;N
46;VALENCIA;157;LLOSA DE RANES (LA);AGENCIA DE LECTURA;AGENCIA DE LECTURA  LLOSA DE RANES (LA);PLAZA PINTOR DIES Nº 3 BAJ;46815;TELF.670959661;FAX.962230409 AYTO;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0136;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0136;LLOSARANES.ALE@GMAIL.COM;N;PU;PÚBLICA;N
46;VALENCIA;148;LORIGUILLA;AGENCIA DE LECTURA;AGENCIA DE LECTURA  LORIGUILLA;AVENIDA DEL OESTE Nº 15;46339;TELF.961667702/961668052; ;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0167;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0167;MARIA@LORIGUILLA.COM;N;PU;PÚBLICA;S
46;VALENCIA;159;MANISES;AGENCIA DE LECTURA;AGENCIA DE LECTURA EL CARME-SOCUSA MANISES;CALLE VALENCIA Nº 44;46940;TELF.961848016;FAX.961531251;HTTP://WWW.MANISES.ES;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0010;CARME-SOCUSA@MANISES.ES;N;PU;PÚBLICA;N
46;VALENCIA;160;MANUEL;AGENCIA DE LECTURA;AGENCIA DE LECTURA  MANUEL;CALLE ANGEL Nº 28;46660;TELF.962265491/673992466;FAX.962235454 AYTO;HTTP://WWW.BIBLIOTECASPUBLICAS.ES/MANUEL/INDEX.JSP;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0183;BIBLIOTECADEMANUEL@HOTMAIL.COM;N;PU;PÚBLICA;S
46;VALENCIA;161;MARINES;AGENCIA DE LECTURA;AGENCIA DE LECTURA JOSEFINA ESCRIG MARINES;CALLE DOCTOR FLEMING Nº S/N;46169;TELF.960019606/66333253;FAX.961648002 AYTO;HTTP://SITES.GOOGLE.COM/SITE/AGENCIADELECTURAJOSEFINAESCRIG; ;BIBLIOTECAMARINES@GMAIL.COM;N;PU;PÚBLICA;N
46;VALENCIA;162;MASSALAVÉS;AGENCIA DE LECTURA;AGENCIA DE LECTURA  MASSALAVÉS;PLAZA MÉNDEZ NÚÑEZ Nº 7;46292;TELF.962443118;FAX.962442103 AYTO; ; ;BIBLIOTECAMASALAVES@HOTMAIL.COM;N;PU;PÚBLICA;N
46;VALENCIA;168;MIRAMAR;AGENCIA DE LECTURA;AGENCIA DE LECTURA  MIRAMAR;AVENIDA DEL MAR Nº 25 PISO 1;46711;TELF.962819026;FAX.962809073 AYTO;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0164;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0164;REGISTRE@AJUMIRAMAR.ORG;N;PU;PÚBLICA;S
46;VALENCIA;169;MISLATA;AGENCIA DE LECTURA;AGENCIA DE LECTURA SANTA CECILIA MISLATA;CALLE SANTA CECILIA Nº 4;46920;TELF.963794660; ;HTTP://WWW.BIBLIOTECASPUBLICAS.ES/MISLATA-VAL/INDEX.JSP;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0084;BIBLIOTECA@MISLATA.ES;N;PU;PÚBLICA;S
46;VALENCIA;170;MOIXENT;AGENCIA DE LECTURA;AGENCIA DE LECTURA  MOIXENT;CALLE STAS.RELIQUIAS Nº 3 PISO 1;46640;TELF.962261030;FAX.962261393;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0137;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0137;BIBLIOTECA@MOIXENT.ES;N;PU;PÚBLICA;S
46;VALENCIA;172;MONTSERRAT;BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL  MONTSERRAT;CALLE DOS DE MAIG Nº 6;46192;TELF.962986027; ;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0054;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0054;BIBLIOTECA@MONTSERRAT.ES;N;PU;PÚBLICA;S
12;CASTELLÓN;78;MONTÁN;OTRAS PÚBLICAS;OTRAS PÚBLICAS  MONTÁN;AVENIDA ANTONIO FORNÁS Nº 10;12447;TELF.964131002 AYTO;FAX.964131267 AYTO; ; ;MONTAN@FVMP.ES;N;PU;PÚBLICA;N
46;VALENCIA;173;MONTAVERNER;AGENCIA DE LECTURA;AGENCIA DE LECTURA  MONTAVERNER;CALLE NOU Nº 14 PISO 1;46892;TELF.962298632;FAX.962298632;HTTP://WWW.BIBLIOTECASPUBLICAS.ES/MONTAVERNER;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0049;BIBLIOTECA@MONTAVERNER.COM;N;PU;PÚBLICA;S
46;VALENCIA;176;MONTROI;AGENCIA DE LECTURA;AGENCIA DE LECTURA  MONTROI;PLAZA AJUNTAMENT Nº 11;46193;TELF.671644437;FAX.962556140 AYTO; ; ;MONTROY_ALM@GVA.ES;N;PU;PÚBLICA;N
46;VALENCIA;177;MUSEROS;BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL JUAN BAUTISTA MUÑOZ FERRANDIS MUSEROS;CALLE ESCOLES VELLES Nº S/N;46136;TELF.961440969;FAX.961444830 AYTO; ; ;BIBLIOTECA@AJUNT-MUSEROS.COM;N;PU;PÚBLICA;N
46;VALENCIA;180;NOVETLÈ;OTRAS PÚBLICAS;OTRAS PÚBLICAS  NOVETLÈ;CALLE MIGUEL HERNÁNDEZ Nº 2;46800;TELF.962270589 AYTO;FAX.962281133 AYTO; ; ;BIBLIOTECA@NOVETLE.ES;N;PU;PÚBLICA;N
46;VALENCIA;184;ONTINYENT;AGENCIA DE LECTURA;AGENCIA DE LECTURA SANT RAFEL ONTINYENT;CALLE CARLOS DIAZ Nº S/N;46870;TELF.962910303; ;HTTP://HTTP://WWW.BIBLIOTECASPUBLICAS.ES/ONTINYENT/INDEX.JSP;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0001;ONTIBIBLIOTECASR@YAHOO.ES;N;PU;PÚBLICA;S
03;ALICANTE;97;ORBA;AGENCIA DE LECTURA;AGENCIA DE LECTURA  ORBA;CALLE ALTER Nº 2 PISO 1;03790;TELF.965584005; ; ;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0201;BIBLIORBA@YMAIL.COM;N;PU;PÚBLICA;S
12;CASTELLÓN;85;ORPESA;BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL  ORPESA;CALLE CABANES Nº 1;12594;TELF.964313574; ;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0050;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0050;BIBLIOTECA@OROPESADELMAR.ES;N;PU;PÚBLICA;S
46;VALENCIA;188;PALMERA;AGENCIA DE LECTURA;AGENCIA DE LECTURA  PALMERA;PROLONGACIÓN C/L'ESGLÉSIA Nº 8 PISO 1;46714;TELF.962893286 AYTO;FAX.962894217 AYTO;HTTP://BIBLIOTECAPALMERA.BLOGSPOT.COM/; ;BIBLIOTECA@AJUNTAMENTPALMERA.ES;N;PU;PÚBLICA;N
46;VALENCIA;190;PATERNA;AGENCIA DE LECTURA;AGENCIA DE LECTURA LA COMA CENTRO JUAN A  VILA BLASCO "EL CURA" PATERNA;CALLE PICANYA Nº S/N;46980;TELF.963053523; ;HTTP://WWW.BIBLIOTECASPUBLICAS.ES/PATERNA/INDEX.JSP;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0112;BCOMA@AYTO-PATERNA.ES;N;PU;PÚBLICA;S
46;VALENCIA;195;PILES;AGENCIA DE LECTURA;AGENCIA DE LECTURA  PILES;PLAZA MORERES Nº 3 PISO 2;46712;TELF.962831087/962831115; ; ; ;BIBLIOPILES@GMAIL.COM;N;PU;PÚBLICA;S
03;ALICANTE;106;PLANES;OTRAS PÚBLICAS;OTRAS PÚBLICAS CURIAL I GÜELFA PLANES;CALLE JAUME I Nº 3;03828;TELF.965514038 AYTO;FAX.965514208; ; ;PLANES@DIP-ALICANTE.ES;N;PU;PÚBLICA;N
46;VALENCIA;197;POLINYÀ DE XÚQUER;AGENCIA DE LECTURA;AGENCIA DE LECTURA  POLINYÀ DE XÚQUER;CALLE CANONGE HERNANDIS Nº 6;46688;TELF.962973727;FAX.962973052 AYTO;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0126;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0126;BIBLIOPOLINYA@HOTMAIL.COM;N;PU;PÚBLICA;N
03;ALICANTE;107;POLOP;AGENCIA DE LECTURA;AGENCIA DE LECTURA  POLOP;CALLE POSIT Nº 20;03520;TELF.966895540;FAX.966895441 AYTO;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0140;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0140;POLOP_BIB@GVA.ES;N;PU;PÚBLICA;N
46;VALENCIA;198;POTRIES;AGENCIA DE LECTURA;AGENCIA DE LECTURA  POTRIES;CALLE JAUME I Nº 57;46721;TELF.962899429;FAX.962801162 AYTO;HTTP://WWW.BIBLIOTECASPUBLICAS.ES/POTRIES/INDEX.JSP;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0151;BIBLIOTECA@POTRIES.ORG;N;PU;PÚBLICA;S
46;VALENCIA;104;QUATRETONDA;AGENCIA DE LECTURA;AGENCIA DE LECTURA ESTANISLAU ALBEROLA QUATRETONDA;CALLE CRIST DE LA FE Nº 88;46837;TELF.962264206/2264571;FAX.962265803;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0087;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0087;BIBLIOTECA@QUATRETONDA.ORG;N;PU;PÚBLICA;S
03;ALICANTE;109;RAFAL;OTRAS PÚBLICAS;OTRAS PÚBLICAS  RAFAL;CALLE DIPUTACIÓN PROVINCIAL DE ALICANTE Nº 5;03369;TELF.966752362;FAX.966752572 AYTO; ; ;MSQB28@HOTMAIL.COM  / RAFAL@DIP-ALICANTE.ES;N;PU;PÚBLICA;N
46;VALENCIA;208;RAFELCOFER;AGENCIA DE LECTURA;AGENCIA DE LECTURA  RAFELCOFER;CALLE LA PAU Nº 16;46716;TELF.648278077;FAX.962800282 AYTO; ;HTTP://XLPV.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0184;RAFELCULTURA@GMAIL.COM;N;PU;PÚBLICA;S
